case,weighta,weightq,a049,a062,a071,a121,a124,a1661,a172,b010,b1661,b216,b260,g018,g019,c11111,c11121,c11122,c11131,c11141,c11142,c11151,c11211,c11221,c11231,c11241,c11251,c11252,c11253,c11311,c11321,c11331,c11341,c11411,c11421,c11431,c11441,c11451,c11461,c11471,c11511,c11521,c11522,c11531,c11541,c11551,c11611,c11621,c11631,c11641,c11651,c11661,c11671,c11681,c11691,c11711,c11721,c11731,c11741,c11751,c11761,c11771,c11781,c11811,c11821,c11831,c11841,c11851,c11861,c11911,c11921,c11931,c11941,c12111,c12121,c12131,c12211,c12221,c12231,c12241,c21111,c21211,c21212,c21213,c21214,c21221,c21311,c22111,c22121,c22131,cb1111,cb1112,cb1113,cb1114,cb1115,cb1116,cb111c,cb111d,cb111e,cb111f,cb111g,cb111h,cb111i,cb111j,cb1121,cb1122,cb1123,cb1124,cb1125,cb1126,cb1127,cb1128,cb112b,cb1213,c31111,c31211,c31212,c31221,c31222,c31231,c31232,c31233,c31234,c31311,c31312,c31313,c31314,c31315,c31411,c31412,c31413,c32111,c32121,c32131,c32211,c41211,c43111,c43112,c44211,c45112,c45114,c45212,c45214,c45222,c45312,c45411,c45412,c45511,c51113,c51114,c51212,c51311,c52111,c52112,c53111,c53121,c53122,c53131,c53132,c53133,c53141,c53151,c53161,c53171,c53211,c53311,c53312,c53313,c53314,c54111,c54121,c54131,c54132,c54141,c55111,c55112,c55211,c55212,c55213,c55214,c56111,c56112,c56121,c56122,c56123,c56124,c56125,c56211,c56221,c56222,c56223,c61111,c61112,c61211,c61311,c61312,c61313,c62111,c62112,c62113,c62114,c62211,c62212,c62311,c62321,c62322,c62331,c63111,c71112,c71122,c71212,c71311,c71411,c72111,c72112,c72113,c72114,c72115,c72211,c72212,c72213,c72313,c72314,c72411,c72412,c72413,c72414,c73112,c73212,c73213,c73214,c73311,c73312,c73411,c73512,c73513,c73611,c81111,c82111,c82112,c82113,c83112,c83114,c83115,c91111,c91112,c91113,c91121,c91122,c91123,c91124,c91125,c91126,c91127,c91128,c91211,c91221,c91311,c91411,c91412,c91413,c91511,c92111,c92112,c92114,c92116,c92117,c92211,c92221,c92311,c93111,c93112,c93113,c93114,c93211,c93212,c93311,c93312,c93313,c93411,c93412,c93511,c94111,c94112,c94113,c94115,c94211,c94212,c94221,c94232,c94236,c94238,c94239,c94241,c94242,c94243,c94244,c94245,c94246,c94311,c94312,c94313,c94314,c94315,c94316,c94319,c9431a,c9431b,c9431c,c9431d,c9431e,c9431f,c9431i,c95111,c95211,c95212,c95311,c95411,ca1113,ca2113,ca3113,ca4113,ca5113,cb2114,cc1111,cc1211,cc1311,cc1312,cc1313,cc1314,cc1315,cc1316,cc1317,cc3111,cc3112,cc3211,cc3221,cc3222,cc3223,cc3224,cc4111,cc4112,cc4121,cc4122,cc5213,cc5412,cc5413,cc6212,cc6214,cc7111,cc7112,cc7113,cc7114,cc7115,cc7116,ck1211,ck1313,ck1314,ck1315,ck1316,ck1411,ck2111,ck3111,ck3112,ck4111,ck4112,ck5111,ck5113,ck5115,ck5116,ck5212,ck5213,ck5214,ck5215,ck5216,ck5221,ck5222,ck5223,ck5316,a054,a056,a060,a091,a093,a094,p344,p348,p352,p396,sexhrp,a055,a190,gor,gorx,p389,year,p600,p601,p602,p603,p604,p605,p606,p607,p608,p609,p610,p611,p612,p620p,p630p,incanon,a070p,p396p,incranges,se,pt,ft,re,ue,ua,Childband,foodban,ageban
138,5.401875,21.6075,3,1 man; 1 woman & 1c,Highest age - all male,Housing association,0,Home computer present,Internet connection in household,20,0,0,0,2,1,0,0.47,0,1.5,2.5,0.875,2.325,1.25,0,0,0,0.5,0,0,0,0,0,1.875,3.64,0,0,0,0,1.25,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.25,1.355,0,2,2.22,1.295,1.135,0,0,2.5,0,0,0.25,0,0.38,2.125,1.75,1,0,0,1.665,0,0,0,0,0,0,0,0,27.5,12.4,0,9,5.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8.995,2.995,0,0,0,0.75,0,0,0.25,0,0,0,0,0,1.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60 - 69.999 pw,Routine technical,Unemployed,Routine,120.55,120.55,850.55,33,Male,May,Home Computer access to NET,North East,North East,120.55,2004,203.545,47.495,48.9,25.49,34.8,13.005,0,8.25,10.23,7.325,0,6.9,1.15,0,203.545,198.24,33,33,Low income,0,0,0,0,1,0,One children,From £ 40 to £ 60,From 30 to 55 years
162,4.631375,18.5255,2,One woman; one child,Highest age - all female,Other rented unfurnished,0,Home computer present,Internet connection in household,9,0,0,0,1,1,0,0.5,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.395,0,0,0,0,0,0,0,0.355,0,0,0,0,0.345,0.495,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,17.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,110 - 119.999 pw,Not classifiable for other reasons,Unoc - under min ni age,Not classifiable for other reasons,106.26,106.26,106.26,26,Female,July,Home Computer access to NET,North East,North East,106.26,2004,79.455,4.45,0,25,19.99,10.4,0,0,0,9.495,0,7.81,2.31,2.5,81.955,188.8941827,26,26,Low income,0,0,0,0,0,1,One children,£ 20 or less,Less than 30 years
176,3.9403,15.7612,4,1 man; 1 woman; 2c,Highest age - all male,Owned with mortgage,2,Home computer present,Internet connection in household,0,0,0,0,2,2,0,1.855,0.415,1.3,0.49,1,3.405,2,0,0,4.015,1.39,0.675,0,0,0,0,1.23,0,2,0.14,0.16,0.77,1.225,0.58,0,0,0,0,0.23,0,0,0.555,1.635,0,0,0.585,0,0,0.12,0,0.345,2.06,2.875,0,0.815,0.645,2.685,0.34,0,1.165,1.365,1.225,0,1.185,0,0.375,0,0,0.495,0.505,0,0,1.005,0,0,1.385,0,0,0,0,0,0,0,0,27.1,0,0,0,2.29,0,0.75,0.9,0,4.45,0,0,3.5,0,0,0.84,0,1.19,0,2.89,2.925,0,0,3.525,0,18,0,1.5,11.625,0,0,0,0,0,2.5,0,0,0,0,0,0,0,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,2.48,1.31,0.015,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,9.19,0,4.685,0,0,1.69,0,16.86,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,1.62,0.83,0,0,0,0,0,0,2.25,0,1.35,1.24,0,0,5.21,0.495,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,360 - 379.999 pw,Semi-routine operative,Fulltime employee,Semi-Routine,711.1,26.83,711.1,46,Male,April,Home Computer access to NET,North East,North East,570.27,2004,391.69,62.135,1.385,42.125,18.49,47.315,3,45.8,9,66.725,0,58.82,36.895,56.8225,448.5125,711.1,46,46,Medium-high income,0,0,1,0,0,0,Two children,More than £ 60,From 30 to 55 years
189,4.173425,16.6937,2,One man; one child,Highest age - all male,Other rented unfurnished,0,No home computer,No internet connection,12,0,0,0,1,1,0,1.515,1.625,0,0,0.495,1.465,0,0.495,0,0.495,0.345,0,0.195,0.75,0,0,0.145,5.475,0,0,0,0.495,0,0.895,0.99,0,0,0,0,0,0.3,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0.285,0.495,0.695,0,0,0,0,0.345,0,0,0,0.195,0,0,0.5,0,0,0.245,0,0,0,0.895,0,0,0,0,0,20.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.83,3.095,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,2,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110 - 119.999 pw,Not classifiable for other reasons,Unoc - under min ni age,Not classifiable for other reasons,111.18,111.18,111.18,26,Male,October,Not recorded,North East,North East,111.18,2004,98.055,22.33,21.79,16,22.6,7.69,0,0.5,0,2.65,0,4.495,0,11,109.055,195.0427404,26,26,Low income,0,0,0,0,0,1,One children,From £ 20 to £ 40,Less than 30 years
200,3.4877,13.9508,3,One woman; 2 plus c,Highest age - all female,Local Authority rented unfurnished,0,Home computer present,Internet connection in household,0,0,0,0,1,2,0,1.205,2.195,0.305,3.255,1.05,5.65,1.58,0,0,1.48,0,0.9,0.375,0,0,0,0,1.685,0,0,0,0.675,1.755,0.58,0,0,0,0,0,0,0,0,1.23,0,0,0,0.275,0,0,0.125,1.395,0.26,0.175,0,0.31,0,1.83,0,0.155,2.595,1,1.19,0,1.725,0,0.405,0,2.75,0,0,0,2.41,1.84,0,0,0,0,2.865,0,0,7.495,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,2.605,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.07,0,0.5,1.835,0,0,0,0,0,0,0,0,0,0.79,0,0,0.415,0.495,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220 - 239.999 pw,Not classifiable for other reasons,Unoc - under min ni age,Not classifiable for other reasons,225.28,225.28,225.28,48,Female,September,Home Computer access to NET,North East,North East,225.28,2004,180.465,45.94,10.36,0,4.8,5.595,0,0,5.54,23.63,0,77.46,7.14,5.77,186.235,295.5809615,48,48,Medium-low income,0,0,0,0,0,1,Two children,From £ 40 to £ 60,From 30 to 55 years
224,4.728025,18.9121,5,Four adults; 1c,Highest age - all female,Owned with mortgage,3,Home computer present,Internet connection in household,0,0,0,0,4,1,0.945,3.085,5.79,4.595,8.295,2.745,3.66,23.16,3.075,4.25,37.665,5.7,7.755,1.645,0,4.445,0,10.705,0,2.345,0,0,10.13,7.52,2.515,0,1.915,0,0,0,0,4.27,1.11,1.54,1.31,2.585,3.935,0,6.905,1.785,1.035,1.68,4.24,7.415,0,4.525,0.395,4.59,0.325,1.42,22.615,0,0.595,0,6.17,0,1.7,0,5.43,0,0,0.205,3.635,2.32,0,16.98,3.49,3.99,0,0,0,20,0,0,0,28.93,0,0.495,3.14,14.85,5.45,3.7,4.5,0,0,1.485,0,21.295,0,0,0.63,0,1.775,0.945,12.88,6.85,0,0,3.425,0,117.48,19.74,0,0,0,0,0,0,10,1.05,0,0,0,0,0,0,32.495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.445,0,0,0,0,0,0,0,0,0,0,0,2.58,0.625,2.095,0,0,0.645,15,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.47,0,0,0,0,0,0,1.845,0,120.11,0,3.995,0,0,0.2,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,13.61,20.485,0,0,0,0,0,0,0,0,0,0,9.995,0,0,2,0,0,0,12,0,3.99,0,0,0,1.25,1.5,0,2.1,0,0,0,0,0,0,3.25,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.45,0,0,1.9,12.765,0,0,0,0,0,0,0,27.62,0,0.2,0,0,1.175,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 - 49.999 pw,Lower managerial,Fulltime employee,Lower Managerial & Professionals,221.2925,37.17,221.2925,51,Male,December,Home Computer access to NET,North East,North East,190.53,2004,1225.715,261.445,44.46,181.765,56.31,54.7,0.325,216.73,4.62,138.53,84.62,110.35,71.86,217.955,1443.67,221.2925,52,51,Low income,0,0,1,0,0,0,One children,More than £ 60,From 30 to 55 years
225,3.5484,14.1936,1,One man,Highest age - all male,Other rented unfurnished,1,No home computer,No internet connection,3,0,0,0,1,0,0,0.94,2.165,0,0.295,0,1.375,0.395,0,0,1.995,0,0.745,0.475,0,0,0,0,0,1.705,0,1.09,1.09,0.295,0.845,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0.695,0,0,0.59,0,0.27,0,0.28,0.84,1.5,0,0.375,0.545,0,0,0,0.46,0,0.585,0,0,3.135,0.845,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18.76,0,2.84,0,0,0,0,0,0,0,0,0,0,0.645,0,0,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220 - 239.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,214.672,214.672,214.672,73,Male,December,Not recorded,North East,North East,214.672,2004,145.375,27.495,0,0,27.46,14.785,0,34.805,5.77,26.91,0,0.37,7.78,10.46,155.835,295.5802692,73,73,Medium-low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
258,3.952825,15.8113,1,One man,Highest age - all male,Owned with mortgage,1,Home computer present,Internet connection in household,0,4.62,0,0,1,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,2.68,0,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,1.5,0,0.81,0.92,0,0,0.49,0,0,0,0,0,0,0,0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.675,0,0,0.5,0,0,0,120.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,280 - 299.999 pw,Lower managerial,Fulltime employee,Lower Managerial & Professionals,289.9189744,0,3.12,37,Male,November,Home Computer access to NET,North West,North West & Merseyside,287.51,2004,363.095,11.365,0,0,23.46,10.175,25,15.19,9.24,256.13,0,1.495,11.04,106.2905,469.3855,294.1425881,37,37,Medium-low income,0,0,1,0,0,0,No children,£ 20 or less,From 30 to 55 years
262,4.04225,16.169,2,One man and 1 woman,Highest age - all male,Other rented unfurnished,0,No home computer,No internet connection,0,0,0,0,2,0,0,0.625,0.245,0.39,0,0,0,0,0,0,1.705,0,0.745,0,0,0,0,0,0.25,0.965,0,0,1.44,0,0.395,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,1.165,0,0.37,0,0,0,0,0,0.545,0.275,0.345,0,0,0.495,0,0,1.83,0,0,0,0,0,0,0,0,7.595,4.46,0,7.665,0,0,0,0.495,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.459230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,1.19,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0.69,0.495,0.39,0,0.495,0,0,0,0,0,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90 - 99.999 pw,Lower supervisory,Unemployed,Lower Supervisory & Technical,85,85,85,37,Male,July,Not recorded,North West,North West & Merseyside,85,2004,75.04692308,12.7,19.72,16.49269231,3.46,7.859230769,0,0.945,0.7,7.02,0,3.785,2.365,0,75.04692308,166.45,37,37,Low income,0,0,0,0,1,0,No children,£ 20 or less,From 30 to 55 years
264,3.9759,15.9036,1,One man,Highest age - all male,Other rented unfurnished,1,Home computer present,No internet connection,75.01,0,0,0,1,0,0,0,0,0,0,0,1.62,0,1.49,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.99,0.615,0,0,0,0,1.64,0,0.725,0,0.275,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0.45,0,0,8.485,7.35,0,0,0,0,5.99,0,0,0,2.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.945,0,0,17.8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,140 - 149.999 pw,Lower supervisory,Fulltime employee,Lower Supervisory & Technical,136.01,0,134.09,40,Male,July,Not recorded,North West,North West & Merseyside,100.0476,2004,192.275,18.055,21.825,6,80.51,0,1.575,0,0,10.31,0,51.9,2.1,10.77,203.045,152.8436138,40,40,Low income,0,0,1,0,0,0,No children,£ 20 or less,From 30 to 55 years
280,2.958375,11.8335,6,One woman; 2 plus c,Highest age - all female,Local Authority rented unfurnished,1,Home computer present,Internet connection in household,62.5,0,0,0,1,5,0,4.535,2.745,0,0.355,0,6.72,0,0,0,0,0.215,0,0.34,0,0,0,0.98,0,2.11,2.285,0.485,0.56,1.915,1.18,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.72,0.75,0.97,0.25,0,0.62,1.37,1.42,0.34,0,0.37,1.215,0,0,0.915,0,0.45,1.25,0,1.515,0,0,7.88,1.02,0,8.235,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0.575,4.235,0,0,2.85,0,0,0,0,0,0,5.995,8.065,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,5,0,0,0,0,0,0.84,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1.485,0.485,1.38,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,0,0,0,0,0,3.5,5.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.875,0,0,0.34,0,0,0,0,0,2.475,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,2.015,0.5,0,0,0,0,0,0,0,0,0,1.945,0,0,1.555,3,9.52,0,0,0,0,1.2,1.2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,1,0,1,1,500 - 524.999 pw,Routine operative,Pt employee,Routine,497.44,236.67,440.44,29,Female,October,Home Computer access to NET,North West,North West & Merseyside,495.54,2004,309.43,53.405,16.575,16.46,83.58,10.97,2.54,37.915,9.74,33.58,0,7.825,36.84,17.13,326.56,501.0602404,29,29,Medium-high income,0,1,0,0,0,0,More than two children,From £ 40 to £ 60,Less than 30 years
